Fecha,Billete Compra,Billete Venta,Divisa Compra,Divisa Venta
05/11/2018,"34,6000","36,4000","35,4500","35,6500"
06/11/2018,"34,6000","36,4000","35,4500","35,6500"
07/11/2018,"34,8000","36,6000","35,4700","35,6700"
08/11/2018,"34,6000","36,4000","35,3000","35,5000"
09/11/2018,"34,5000","36,3000","35,2000","35,4000"
10/11/2018,"34,5000","36,3000","35,2000","35,4000"
11/11/2018,"34,5000","36,3000","35,2000","35,4000"
12/11/2018,"34,7000","36,5000","35,3800","35,5800"
13/11/2018,"35,1000","36,9000","35,8500","36,0500"
14/11/2018,"35,1000","36,9000","35,7000","35,9000"
15/11/2018,"35,1000","36,9000","35,8500","36,0500"
16/11/2018,"35,1000","36,9000","35,7300","35,9300"
17/11/2018,"35,1000","36,9000","35,7300","35,9300"
18/11/2018,"35,1000","36,9000","35,7300","35,9300"
19/11/2018,"35,1000","36,9000","35,7300","35,9300"
20/11/2018,"35,3000","37,1000","35,9800","36,1800"
21/11/2018,"35,3000","37,1000","36,0550","36,2550"
22/11/2018,"35,6000","37,4000","36,3000","36,5000"
23/11/2018,"36,7000","38,5000","37,4000","37,6000"
24/11/2018,"36,7000","38,5000","37,4000","37,6000"
25/11/2018,"36,7000","38,5000","37,4000","37,6000"
26/11/2018,"38,1000","39,9000","38,8500","39,0500"
27/11/2018,"37,7000","39,5000","38,3500","38,5500"
28/11/2018,"37,6000","39,4000","38,2600","38,4600"
29/11/2018,"36,8000","38,6000","37,5200","37,7200"
30/11/2018,"36,8000","38,6000","37,5200","37,7200"
01/12/2018,"36,8000","38,6000","37,5200","37,7200"
02/12/2018,"36,8000","38,6000","37,5200","37,7200"
03/12/2018,"35,6000","37,4000","36,3000","36,5000"
04/12/2018,"36,5000","38,3000","37,2000","37,4000"
05/12/2018,"36,6000","38,4000","37,2500","37,4500"
06/12/2018,"36,8000","38,6000","37,5000","37,7000"
07/12/2018,"36,5000","38,3000","37,2000","37,4000"
08/12/2018,"36,5000","38,3000","37,2000","37,4000"
09/12/2018,"36,5000","38,3000","37,2000","37,4000"
10/12/2018,"36,8000","38,6000","37,4600","37,6600"
11/12/2018,"36,9000","38,7000","37,6100","37,8100"
12/12/2018,"36,7000","38,5000","37,3900","37,5900"
13/12/2018,"36,9000","38,7000","37,6300","37,8300"
14/12/2018,"37,2000","39,0000","37,9700","38,1700"
15/12/2018,"37,2000","39,0000","37,9700","38,1700"
16/12/2018,"37,2000","39,0000","37,9700","38,1700"
17/12/2018,"37,3000","39,1000","38,0600","38,2600"
18/12/2018,"37,3000","39,1000","38,0600","38,2600"
19/12/2018,"37,4000","39,2000","38,1700","38,3700"
20/12/2018,"37,2000","39,0000","37,8500","38,0500"
21/12/2018,"37,1000","38,9000","37,7750","37,9750"
22/12/2018,"37,1000","38,9000","37,7750","37,9750"
23/12/2018,"37,1000","38,9000","37,7750","37,9750"
24/12/2018,"37,1000","38,9000","37,7750","37,9750"
25/12/2018,"37,1000","38,9000","37,7750","37,9750"
26/12/2018,"37,7000","39,5000","38,4000","38,6000"
27/12/2018,"37,5000","39,3000","38,1000","38,3000"
28/12/2018,"36,8000","38,6000","37,5000","37,7000"
29/12/2018,"36,8000","38,6000","37,5000","37,7000"
30/12/2018,"36,8000","38,6000","37,5000","37,7000"
31/12/2018,"36,8000","38,6000","37,5000","37,7000"
01/01/2019,"36,8000","38,6000","37,5000","37,7000"
02/01/2019,"36,8000","38,6000","37,4500","37,6500"
03/01/2019,"36,6000","38,4000","37,2500","37,4500"
04/01/2019,"36,5000","38,3000","37,1700","37,3700"
05/01/2019,"36,5000","38,3000","37,1700","37,3700"
06/01/2019,"36,5000","38,3000","37,1700","37,3700"
07/01/2019,"36,5000","38,3000","37,1050","37,3050"
08/01/2019,"36,7000","38,5000","37,4000","37,6000"
09/01/2019,"36,5000","38,3000","37,1700","37,3700"
10/01/2019,"36,2000","38,0000","36,8800","37,0800"
11/01/2019,"36,0000","37,8000","36,7000","36,9000"
12/01/2019,"36,0000","37,8000","36,7000","36,9000"
13/01/2019,"36,0000","37,8000","36,7000","36,9000"
14/01/2019,"36,1000","37,9000","36,8000","37,0000"
15/01/2019,"36,2000","38,0000","36,9000","37,1000"
16/01/2019,"36,6000","38,4000","37,3000","37,5000"
17/01/2019,"36,8000","38,6000","37,5100","37,7100"
18/01/2019,"36,7000","38,5000","37,3800","37,5800"
19/01/2019,"36,7000","38,5000","37,3800","37,5800"
20/01/2019,"36,7000","38,5000","37,3800","37,5800"
21/01/2019,"36,8000","38,6000","37,5000","37,7000"
22/01/2019,"36,6000","38,4000","37,3300","37,5300"
23/01/2019,"36,6000","38,4000","37,3600","37,5600"
24/01/2019,"36,5000","38,3000","37,2000","37,4000"
25/01/2019,"36,2000","38,0000","36,83","37,03"
26/01/2019,"36,2000","38,0000","36,83","37,03"
27/01/2019,"36,2000","38,0000","36,83","37,03"
28/01/2019,"36,2000","38,0000","36,9500","37,1500"
29/01/2019,"36,8000","38,6000","37,5000","37,7000"
30/01/2019,"36,6000","38,4000","37,3100","37,5100"
31/01/2019,"36,4000","38,2000","37,1500","37,3500"
01/02/2019,"36,3000","38,1000","36,9700","37,1700"
02/02/2019,"36,3000","38,1000","36,9700","37,1700"
03/02/2019,"36,3000","38,1000","36,9700","37,1700"
04/02/2019,"36,3000","38,1000","36,9900","37,1900"
05/02/2019,"36,3000","38,1000","37,0000","37,2000"
06/02/2019,"36,6000","38,4000","37,32","37,52"
07/02/2019,"36,9000","38,7000","37,62","37,82"
08/02/2019,"36,9000","38,7000","37,65","37,85"
09/02/2019,"36,9000","38,7000","37,65","37,85"
10/02/2019,"36,9000","38,7000","37,65","37,85"
11/02/2019,"37,0000","38,8000","37,71","37,91"
12/02/2019,"37,1000","38,9000","37,79","37,99"
13/02/2019,"37,3000","39,1000","38,02","38,22"
14/02/2019,"37,3000","39,1000","38,02","38,22"
15/02/2019,"37,7000","39,5000","38,42","38,62"
16/02/2019,"37,7000","39,5000","38,42","38,62"
17/02/2019,"37,7000","39,5000","38,42","38,62"
18/02/2019,"37,9000","39,7000","38,6000","38,8000"
19/02/2019,"38,4000","40,2000","39,0700","39,2700"
20/02/2019,"38,8000","40,6000","39,4700","39,6700"
21/02/2019,"38,6000","40,4000","39,3300","39,5300"
22/02/2019,"38,3000","40,1000","39,0200","39,2200"
23/02/2019,"38,3000","40,1000","39,0200","39,2200"
24/02/2019,"38,3000","40,1000","39,0200","39,2200"
25/02/2019,"38,1000","39,9000","38,8490","39,0490"
26/02/2019,"38,0000","39,8000","38,6700","38,8700"
27/02/2019,"37,9000","39,7000","38,6200","38,8200"
28/02/2019,"38,3000","40,1000","38,9500","39,1500"
01/03/2019,"38,9000","40,7000","39,6100","39,8100"
02/03/2019,"38,9000","40,7000","39,6100","39,8100"
03/03/2019,"38,9000","40,7000","39,6100","39,8100"
